Sample Count,55

Sample No.,1
Date & Time,'2021-12-30 13:24:58
Data Type,OPC
Voc (V),39.28
Isc (A),8.918
Pmax (W),228.7857
Vpm (V),29.56
Ipm (A),7.738
EFF (%),11.768
FF,0.652
Tc (degC),15.9
Irr (W/m2),66
Nms,1
Rs (Ohm),0.9216
V (V),I (A),P (W)
0.26,8.895,2.3299
0.52,8.873,4.6481
0.78,8.851,6.9546
1.04,8.828,9.2494
1.30,8.806,11.5324
1.57,8.783,13.8038
1.83,8.761,16.0633
2.09,8.739,18.3112
2.35,8.716,20.5474
2.61,8.694,22.7717
2.88,8.672,24.9845
3.14,8.649,27.1853
3.40,8.627,29.3747
3.66,8.604,31.5522
3.92,8.582,33.7179
4.19,8.560,35.8721
4.45,8.447,37.6132
4.71,8.245,38.8720
4.97,8.230,40.9567
5.23,8.221,43.0655
5.50,8.212,45.1711
5.76,8.206,47.2869
6.02,8.200,49.3995
6.28,8.194,51.5089
6.54,8.188,53.6185
6.80,8.185,55.7386
7.07,8.181,57.8568
7.33,8.177,59.9731
7.59,8.174,62.0875
7.85,8.170,64.2001
8.11,8.167,66.3107
8.38,8.164,68.4248
8.64,8.161,70.5419
8.90,8.159,72.6578
9.16,8.156,74.7724
9.42,8.154,76.8857
9.69,8.151,78.9977
9.95,8.149,81.1084
10.21,8.146,83.2179
10.47,8.144,85.3260
10.73,8.142,87.4329
11.00,8.139,89.5407
11.26,8.137,91.6499
11.52,8.135,93.7581
11.78,8.133,95.8653
12.04,8.131,97.9713
12.30,8.129,100.0764
12.57,8.127,102.1804
12.83,8.125,104.2833
13.09,8.123,106.3852
13.35,8.121,108.4860
13.61,8.119,110.5857
13.88,8.117,112.6844
14.14,8.115,114.7821
14.40,8.113,116.8794
14.66,8.111,118.9758
14.92,8.109,121.0711
15.19,8.107,123.1654
15.45,8.105,125.2586
15.71,8.103,127.3508
15.97,8.101,129.4420
16.23,8.099,131.5322
16.50,8.098,133.6213
16.76,8.096,135.7095
17.02,8.094,137.7965
17.28,8.092,139.8826
17.54,8.090,141.9677
17.81,8.088,144.0483
18.07,8.085,146.1274
18.33,8.083,148.2053
18.59,8.081,150.2820
18.85,8.079,152.3577
19.11,8.077,154.4321
19.38,8.074,156.5055
19.64,8.072,158.5777
19.90,8.070,160.6487
20.16,8.068,162.7187
20.42,8.066,164.7874
20.69,8.064,166.8551
20.95,8.061,168.9136
21.21,8.058,170.9691
21.47,8.056,173.0231
21.73,8.053,175.0758
22.00,8.050,177.1271
22.26,8.048,179.1771
22.52,8.045,181.2256
22.78,8.043,183.2728
23.04,8.040,185.3186
23.31,8.037,187.3630
23.57,8.034,189.3858
23.83,8.030,191.3983
24.09,8.026,193.4087
24.35,8.022,195.4172
24.61,8.018,197.4236
24.88,8.015,199.4279
25.14,8.011,201.4303
25.40,8.006,203.4052
25.66,8.000,205.3633
25.92,7.995,207.3186
26.19,7.990,209.2710
26.45,7.984,211.2207
26.71,7.978,213.1376
26.97,7.970,215.0216
27.23,7.962,216.9016
27.50,7.955,218.7776
27.76,7.944,220.5492
28.02,7.931,222.2861
28.28,7.915,223.9115
28.54,7.894,225.3761
28.81,7.860,226.4523
29.07,7.820,227.3525
29.33,7.768,227.8901
29.59,7.730,228.7831
29.85,7.651,228.4648
30.12,7.588,228.5648
30.38,7.509,228.1601
30.64,7.428,227.6278
30.90,7.327,226.4576
31.16,7.266,226.4840
31.42,7.093,222.9586
31.69,6.994,221.6718
31.95,6.859,219.1757
32.21,6.728,216.7590
32.47,6.563,213.1536
32.73,6.381,208.9396
33.00,6.226,205.4929
33.26,6.093,202.6943
33.52,5.887,197.3712
33.78,5.661,191.2918
34.04,5.502,187.3619
34.31,5.288,181.4659
34.57,5.082,175.7280
34.83,4.837,168.5226
35.09,4.576,160.6056
35.35,4.339,153.4482
35.62,4.037,143.8233
35.88,3.720,133.4827
36.14,3.514,127.0434
36.40,3.309,120.4697
36.66,3.035,111.3180
36.92,2.753,101.6991
37.19,2.537,94.3831
37.45,2.189,81.9905
37.71,1.852,69.8843
37.97,1.561,59.3048
38.23,1.239,47.3877
38.50,0.935,36.0040
38.76,0.631,24.4948
39.02,0.353,13.7781

Sample No.,2
Date & Time,'2021-12-30 13:26:13
Data Type,OPC
Voc (V),39.13
Isc (A),8.916
Pmax (W),226.6825
Vpm (V),29.96
Ipm (A),7.563
EFF (%),11.660
FF,0.649
Tc (degC),15.7
Irr (W/m2),760
Nms,1
Rs (Ohm),0.8987
V (V),I (A),P (W)
0.26,8.893,2.3203
0.52,8.869,4.6284
0.78,8.846,6.9242
1.04,8.822,9.2078
1.30,8.799,11.4789
1.56,8.775,13.7379
1.82,8.752,15.9846
2.08,8.728,18.2188
2.34,8.704,20.4409
2.60,8.681,22.6507
2.87,8.657,24.8483
3.13,8.634,27.0335
3.39,8.610,29.2063
3.65,8.587,31.3669
3.91,8.563,33.5151
4.17,8.539,35.6511
4.43,8.242,36.5591
4.69,8.213,38.5748
4.95,8.199,40.6481
5.21,8.187,42.7234
5.47,8.180,44.8225
5.74,8.173,46.9181
6.00,8.167,49.0102
6.26,8.161,51.1070
6.52,8.157,53.2075
6.78,8.152,55.3057
7.04,8.148,57.4015
7.30,8.143,59.4951
7.56,8.139,61.5864
7.82,8.136,63.6896
8.08,8.134,65.7914
8.34,8.131,67.8918
8.61,8.128,69.9908
8.87,8.126,72.0885
9.13,8.123,74.1848
9.39,8.121,76.2797
9.65,8.118,78.3733
9.91,8.115,80.4655
10.17,8.113,82.5596
10.43,8.111,84.6569
10.69,8.109,86.7532
10.95,8.107,88.8485
11.21,8.105,90.9428
11.48,8.104,93.0361
11.74,8.102,95.1284
12.00,8.100,97.2198
12.26,8.098,99.3102
12.52,8.096,101.3996
12.78,8.094,103.4880
13.04,8.092,105.5754
13.30,8.090,107.6619
13.56,8.088,109.7473
13.82,8.086,111.8299
14.08,8.084,113.9109
14.35,8.082,115.9908
14.61,8.080,118.0696
14.87,8.078,120.1474
15.13,8.076,122.2241
15.39,8.074,124.2997
15.65,8.072,126.3743
15.91,8.070,128.4478
16.17,8.068,130.5202
16.43,8.066,132.5915
16.69,8.064,134.6617
16.95,8.062,136.7307
17.22,8.060,138.7968
17.48,8.057,140.8618
17.74,8.055,142.9257
18.00,8.053,144.9884
18.26,8.051,147.0500
18.52,8.049,149.1105
18.78,8.047,151.1698
19.04,8.044,153.2280
19.30,8.042,155.2851
19.56,8.040,157.3410
19.82,8.038,159.3958
20.09,8.036,161.4494
20.35,8.033,163.4932
20.61,8.030,165.5337
20.87,8.028,167.5728
21.13,8.025,169.6105
21.39,8.022,171.6468
21.65,8.020,173.6817
21.91,8.017,175.7152
22.17,8.014,177.7473
22.43,8.012,179.7780
22.69,8.009,181.8072
22.96,8.005,183.8187
23.22,8.002,185.8211
23.48,7.998,187.8216
23.74,7.994,189.8202
24.00,7.991,191.8168
24.26,7.987,193.8114
24.52,7.983,195.8041
24.78,7.979,197.7880
25.04,7.974,199.7457
25.30,7.969,201.7008
25.56,7.964,203.6533
25.83,7.959,205.6032
26.09,7.954,207.5505
26.35,7.948,209.4607
26.61,7.941,211.3356
26.87,7.933,213.2065
27.13,7.926,215.0736
27.39,7.916,216.8796
27.65,7.905,218.6487
27.91,7.895,220.4121
28.17,7.874,221.8850
28.43,7.848,223.2140
28.70,7.817,224.3720
28.96,7.776,225.2138
29.22,7.729,225.8752
29.48,7.673,226.2373
29.74,7.614,226.4725
30.00,7.549,226.5284
30.26,7.473,226.1982
30.52,7.387,225.5055
30.78,7.281,224.1950
31.04,7.179,222.9026
